,NO2
100,18.66666667
101,17.03333333
102,20.3
103,21.71666667
104,15.36666667
105,23.05
106,17.83333333
107,18.91666667
108,22.33333333
109,13.56666667
110,19.41666667
111,23.01666667
112,23.36666667
113,14.13333333
114,18.05
115,17.75
116,22.76666667
117,19.56666667
118,16.8
119,19.3
120,16.91666667
121,16.75
122,21.01666667
123,17.83333333
124,18.85
125,20.93333333
126,17.46666667
127,19.16666667
128,26.4
129,19.65
130,16.05
131,21.83333333
132,20.0
133,18.23333333
134,19.0
135,18.33333333
136,19.9
137,18.11666667
138,20.18333333
139,15.16666667
140,18.81666667
141,25.35
142,23.53333333
143,23.0
144,18.3
145,26.53333333
146,20.5
147,17.25
148,19.08333333
149,18.2
150,18.68333333
151,19.11666667
152,21.2
153,19.5
154,13.91666667
155,19.83333333
156,18.38333333
157,18.95
158,19.95
159,16.93333333
160,17.91666667
161,17.46666667
162,15.4
163,19.05
164,17.36666667
165,19.8
166,17.6
167,21.4
168,23.55
169,21.06666667
170,19.66666667
171,18.16666667
172,14.76666667
173,17.66666667
174,26.85
175,20.05
176,16.96666667
177,17.38333333
178,18.18333333
179,21.25
180,15.86666667
181,11.95
182,20.7
183,16.83333333
184,17.0
185,14.5
186,16.53333333
187,15.45
188,18.63333333
189,16.25
190,15.41666667
191,22.58333333
192,25.33333333
193,20.61666667
194,18.41666667
195,17.73333333
196,20.11666667
197,14.08333333
198,20.55
199,17.88333333
200,17.4
201,19.41666667
396,20.0
397,13.0
398,20.0
399,18.0
400,18.0
401,16.0
402,23.0
403,19.0
404,22.0
405,245.0
406,22.0
407,13.0
408,20.0
409,16.0
410,21.0
411,13.0
412,27.0
413,23.0
414,27.0
415,18.0
416,29.0
417,40.0
418,30.0
419,28.0
420,19.0
421,24.0
422,12.0
423,14.0
424,25.0
425,14.0
426,15.0
427,22.0
428,24.0
429,31.0
430,28.0
431,22.0
432,12.0
433,12.0
434,14.0
435,15.0
436,13.0
437,13.0
438,17.0
439,13.0
440,16.0
441,16.0
442,15.0
443,13.0
444,19.0
445,15.0
446,14.0
447,17.0
448,13.0
449,14.0
450,21.0
451,14.0
452,13.0
453,35.0
454,38.0
455,29.0
456,33.0
457,32.0
458,31.0
459,37.0
460,41.0
461,35.0
462,25.0
463,29.0
464,27.0
465,28.0
466,28.0
467,33.0
468,32.0
469,34.0
470,29.0
471,29.0
472,29.0
473,37.0
474,30.0
475,29.0
476,68.0
477,59.0
478,46.0
479,61.0
480,52.0
481,36.0
482,23.0
483,42.0
484,37.0
485,19.0
486,23.0
487,26.0
488,16.0
489,12.0
490,11.0
680,20.0
681,22.0
682,32.0
683,24.0
684,26.0
685,20.0
686,25.0
687,36.0
688,32.0
689,36.0
690,25.0
691,22.0
692,36.0
693,20.0
694,26.0
695,25.0
696,26.0
697,24.0
698,26.0
699,29.0
700,25.0
701,25.0
702,24.0
703,26.0
704,23.0
705,26.0
706,26.0
707,28.0
708,30.0
709,27.0
710,24.0
711,30.0
712,32.0
713,33.0
714,32.0
715,33.0
716,29.0
717,33.0
718,31.0
719,28.0
720,24.0
721,25.0
722,24.0
723,25.0
724,24.0
725,26.0
726,21.0
727,18.0
728,17.0
729,18.0
730,20.0
731,23.0
732,21.0
733,21.0
734,19.0
735,20.0
736,18.0
737,21.0
738,22.0
739,22.0
740,20.0
741,19.0
742,21.0
743,21.0
744,20.0
745,19.0
746,22.0
747,21.0
748,20.0
749,19.0
750,17.0
751,19.0
752,19.0
753,19.0
754,24.0
755,21.0
756,20.0
757,16.0
758,18.0
759,15.0
760,18.0
761,17.0
762,19.0
763,18.0
764,18.0
765,15.0
766,17.0
767,18.0
768,15.0
769,14.0
770,16.0
771,16.0
772,16.0
773,15.0
774,19.0
775,16.0
776,17.0
777,26.0
972,20.0
973,17.0
974,19.0
975,16.0
976,17.0
977,18.0
978,15.0
979,19.0
980,18.0
981,18.0
982,19.0
983,17.0
984,18.0
985,19.0
986,16.0
987,19.0
988,21.0
989,20.0
990,19.0
991,19.0
992,19.0
993,16.0
994,18.0
995,18.0
996,15.0
997,17.0
998,19.0
999,16.0
1000,17.0
1001,19.0
1002,20.0
1003,20.0
1004,20.0
1005,20.0
1006,19.0
1007,18.0
1008,19.0
1009,21.0
1010,21.0
1011,16.0
1012,20.0
1013,17.0
1014,21.0
1015,19.0
1016,20.0
1017,21.0
1018,17.0
1019,20.0
1020,17.0
1021,17.0
1022,17.0
1023,17.0
1024,19.0
1025,13.0
1026,18.0
1027,17.0
1028,17.0
1029,17.0
1030,17.0
1031,18.0
1032,19.0
1033,18.0
1034,19.0
1035,19.0
1036,15.0
1037,21.0
1038,17.0
1039,19.0
1040,18.0
1041,19.0
1042,20.0
1043,22.0
1044,18.0
1045,19.0
1046,19.0
1047,19.0
1048,18.0
1049,19.0
1050,23.0
1051,19.0
1052,19.0
1053,16.0
1054,17.0
1055,16.0
1056,19.0
1057,18.0
1058,14.0
1059,18.0
1060,16.0
1061,18.0
1062,16.0
1063,17.0
1064,16.0
1065,17.0
1066,14.0
1067,14.0
1068,14.0
1069,18.0
1070,14.0
1253,14.0
1254,17.0
1255,18.0
1256,19.0
1257,19.0
1258,18.0
1259,17.0
1260,17.0
1261,20.0
1262,18.0
1263,17.0
1264,18.0
1265,16.0
1266,14.0
1267,17.0
1268,18.0
1269,20.0
1270,19.0
1271,17.0
1272,18.0
1273,15.0
1274,15.0
1275,16.0
1276,18.0
1277,18.0
1278,18.0
1279,18.0
1280,14.0
1281,17.0
1282,17.0
1283,15.0
1284,16.0
1285,17.0
1286,14.0
1287,15.0
1288,13.0
1289,16.0
1290,17.0
1291,19.0
1292,16.0
1293,17.0
1294,16.0
1295,13.0
1296,16.0
1297,13.0
1298,17.0
1299,15.0
1300,14.0
1301,17.0
1302,15.0
1303,14.0
1304,17.0
1305,15.0
1306,16.0
1307,15.0
1308,17.0
1309,13.0
1310,13.0
1311,15.0
1312,14.0
1313,12.0
1314,13.0
1315,12.0
1316,15.0
1317,16.0
1318,15.0
1319,13.0
1320,17.0
1321,14.0
1322,13.0
1323,12.0
1324,15.0
1325,15.0
1326,15.0
1327,16.0
1328,17.0
1329,15.0
1330,12.0
1331,14.0
1332,16.0
1333,11.0
1334,15.0
1335,13.0
1336,13.0
1337,13.0
1338,13.0
1339,12.0
1340,13.0
1341,14.0
1342,16.0
1343,13.0
1344,10.0
1345,13.0
1565,21.0
1589,19.0
1530,12.0
1531,14.0
1532,11.0
1540,15.0
1597,18.0
1536,13.0
1537,12.0
1538,15.0
1539,16.0
1580,17.0
1544,12.0
1545,13.0
1546,16.0
1547,15.0
1548,17.0
1557,18.0
1566,22.0
1551,15.0
1552,17.0
1553,13.0
1554,16.0
1555,13.0
1556,17.0
1528,15.0
1533,14.0
1541,15.0
1590,19.0
1598,17.0
1560,18.0
1561,15.0
1562,15.0
1563,18.0
1564,14.0
1549,16.0
1581,20.0
1569,23.0
1570,17.0
1571,22.0
1572,20.0
1573,17.0
1558,20.0
1605,15.0
1575,21.0
1576,17.0
1577,17.0
1578,20.0
1579,17.0
1567,17.0
1591,16.0
1583,17.0
1584,20.0
1585,15.0
1586,17.0
1587,17.0
1588,18.0
1534,13.0
1542,17.0
1550,17.0
1574,19.0
1599,15.0
1582,16.0
1606,16.0
1593,17.0
1594,15.0
1595,16.0
1596,15.0
1559,17.0
1568,20.0
1601,19.0
1602,19.0
1603,19.0
1604,21.0
1529,14.0
1535,15.0
1543,14.0
1592,18.0
1600,19.0
1607,19.0
1608,17.0
1609,13.0
1610,16.0
1611,17.0
0,17.16666667
1,20.28333333
2,20.51666667
3,18.18333333
4,17.32
5,20.86666667
6,20.66666667
7,18.65
8,19.5
9,18.38333333
10,18.63333333
11,21.48333333
12,19.78333333
13,22.33333333
14,16.61666667
15,16.58333333
16,22.13333333
17,14.36666667
18,19.36666667
19,16.6
20,20.15
21,20.5
22,17.31666667
23,16.68333333
24,18.25
25,16.88333333
26,18.08333333
27,18.96666667
28,22.38333333
29,21.4
30,19.16666667
31,17.53333333
32,18.71666667
33,18.9
34,15.64
35,21.65
36,16.4
37,23.45
38,12.73333333
39,22.21666667
40,20.43333333
41,20.51666667
42,19.38333333
43,24.5
44,16.91666667
45,18.86666667
46,15.35
47,15.33333333
48,21.2
49,20.21666667
50,17.5
51,15.13333333
52,15.96666667
53,19.11666667
54,22.3
55,18.93333333
56,18.12
57,16.55
58,16.66666667
59,14.75
60,23.38333333
61,15.38333333
62,18.01666667
63,16.53333333
64,20.63333333
65,17.41666667
66,15.65
67,19.06666667
68,15.33333333
69,19.26666667
70,16.6
71,12.85
72,16.78333333
73,14.2
74,15.38333333
75,17.08333333
76,19.81666667
77,18.0
78,17.91666667
79,19.16666667
80,19.78333333
81,16.76666667
82,19.08333333
83,18.5
84,16.53333333
85,16.9
86,14.95
87,22.48333333
88,19.9
89,17.36666667
90,18.86666667
91,16.73333333
92,17.6
93,17.71666667
94,21.01666667
