Sampling Date,Unnamed: 0,Location of Monitoring Station,SO2,NO2,RSPM/PM10,SPM,PM 2.5
01/05/2010,0,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.6,17.16666667,73.33333333,149.6666667,
01/07/2010,1,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.15,20.28333333,61.33333333,150.3333333,
01/12/2010,2,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.45,20.51666667,75.0,114.6666667,
01/19/2010,3,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.75,18.18333333,120.0,197.6666667,
01/21/2010,4,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.78,17.32,96.5,216.0,
01/28/2010,5,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",17.11666667,20.86666667,81.33333333,159.3333333,
02/02/2010,6,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.48333333,20.66666667,82.33333333,185.6666667,
02/04/2010,7,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.93333333,18.65,79.0,179.3333333,
02/09/2010,8,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.36666667,19.5,96.66666667,181.3333333,
02/11/2010,9,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.16666667,18.38333333,52.66666667,125.6666667,
02/16/2010,10,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.18333333,18.63333333,50.66666667,128.3333333,
02/18/2010,11,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.56666667,21.48333333,85.0,157.0,
02/23/2010,12,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.55,19.78333333,88.66666667,272.3333333,
02/25/2010,13,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",14.71666667,22.33333333,83.0,197.3333333,
03/02/2010,14,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.633333333,16.61666667,94.66666667,193.3333333,
03/04/2010,15,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.38333333,16.58333333,118.3333333,335.3333333,
03/09/2010,16,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.7,22.13333333,56.0,173.6666667,
03/11/2010,17,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",8.65,14.36666667,53.33333333,107.3333333,
03/18/2010,18,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.71666667,19.36666667,69.66666667,167.3333333,
03/23/2010,19,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.18333333,16.6,111.0,298.6666667,
03/25/2010,20,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.41666667,20.15,58.0,222.3333333,
03/30/2010,21,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",15.35,20.5,67.66666667,279.3333333,
04/01/2010,22,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.316666667,17.31666667,88.0,253.0,
04/06/2010,23,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.15,16.68333333,61.66666667,214.3333333,
04/08/2010,24,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.65,18.25,42.66666667,128.0,
04/13/2010,25,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.55,16.88333333,39.0,174.0,
04/15/2010,26,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.3,18.08333333,48.66666667,144.0,
04/20/2010,27,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.3,18.96666667,43.33333333,271.6666667,
04/22/2010,28,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",15.8,22.38333333,86.66666667,248.0,
04/27/2010,29,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.13333333,21.4,58.66666667,169.6666667,
04/29/2010,30,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.1,19.16666667,46.33333333,155.3333333,
05/04/2010,31,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.3,17.53333333,57.0,145.6666667,
05/06/2010,32,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.7,18.71666667,79.66666667,169.6666667,
05/11/2010,33,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.95,18.9,161.3333333,296.3333333,
05/18/2010,34,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.02,15.64,74.33333333,212.6666667,
05/20/2010,35,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.91666667,21.65,62.66666667,139.6666667,
05/25/2010,36,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.816666667,16.4,89.33333333,211.3333333,
05/27/2010,37,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",14.71666667,23.45,68.33333333,211.6666667,
06/01/2010,38,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.266666667,12.73333333,89.33333333,218.3333333,
06/03/2010,39,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",13.53333333,22.21666667,86.0,225.0,
06/08/2010,40,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.63333333,20.43333333,61.0,243.3333333,
06/10/2010,41,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.38333333,20.51666667,73.66666667,136.6666667,
06/15/2010,42,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.6,19.38333333,74.0,171.0,
06/17/2010,43,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",14.01666667,24.5,95.0,232.3333333,
06/22/2010,44,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.966666667,16.91666667,43.66666667,141.3333333,
06/24/2010,45,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.7,18.86666667,79.0,220.0,
06/29/2010,46,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",8.983333333,15.35,67.0,136.3333333,
07/01/2010,47,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.066666667,15.33333333,81.0,165.3333333,
07/06/2010,48,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.78333333,21.2,90.66666667,203.3333333,
07/08/2010,49,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.6,20.21666667,55.0,83.33333333,
07/13/2010,50,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.05,17.5,75.0,167.3333333,
07/15/2010,51,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",8.816666667,15.13333333,59.33333333,180.3333333,
07/20/2010,52,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.45,15.96666667,56.66666667,96.0,
07/22/2010,53,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.3,19.11666667,99.66666667,215.3333333,
07/27/2010,54,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",13.45,22.3,87.66666667,221.6666667,
07/29/2010,55,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.15,18.93333333,48.66666667,136.6666667,
08/03/2010,56,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.3,18.12,91.33333333,231.0,
08/05/2010,57,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.866666667,16.55,65.33333333,181.3333333,
08/10/2010,58,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.716666667,16.66666667,93.33333333,227.0,
08/12/2010,59,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",8.816666667,14.75,85.66666667,191.3333333,
08/17/2010,60,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",13.46666667,23.38333333,54.66666667,119.0,
08/19/2010,61,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.55,15.38333333,133.6666667,175.0,
08/24/2010,62,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.43333333,18.01666667,46.66666667,62.66666667,
08/26/2010,63,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.916666667,16.53333333,69.0,151.6666667,
08/31/2010,64,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",14.13333333,20.63333333,49.66666667,118.6666667,
09/02/2010,65,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.33333333,17.41666667,52.33333333,160.0,
09/09/2010,66,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.366666667,15.65,85.33333333,234.6666667,
09/14/2010,67,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.36666667,19.06666667,63.0,165.0,
09/16/2010,68,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",8.816666667,15.33333333,42.66666667,136.0,
09/21/2010,69,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.75,19.26666667,85.66666667,135.3333333,
09/23/2010,70,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.96666667,16.6,64.66666667,149.3333333,
09/28/2010,71,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",8.7,12.85,29.33333333,79.0,
09/30/2010,72,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.73333333,16.78333333,37.0,103.0,
10/05/2010,73,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",8.86,14.2,213.3333333,260.0,
10/07/2010,74,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.366666667,15.38333333,98.33333333,201.6666667,
10/12/2010,75,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.06666667,17.08333333,109.0,241.0,
10/14/2010,76,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.46666667,19.81666667,145.0,288.6666667,
10/19/2010,77,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.5,18.0,101.3333333,195.3333333,
10/21/2010,78,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.33333333,17.91666667,163.6666667,298.3333333,
10/26/2010,79,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.93333333,19.16666667,105.6666667,164.3333333,
10/28/2010,80,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.41666667,19.78333333,179.3333333,239.3333333,
11/02/2010,81,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.08333333,16.76666667,123.3333333,225.3333333,
11/04/2010,82,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.58333333,19.08333333,112.6666667,168.3333333,
11/09/2010,83,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.31666667,18.5,55.0,80.0,
11/11/2010,84,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.533333333,16.53333333,120.6666667,201.0,
11/16/2010,85,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.93333333,16.9,73.66666667,115.6666667,
11/18/2010,86,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",13.45,14.95,69.66666667,99.66666667,
11/23/2010,87,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.93333333,22.48333333,65.0,99.33333333,
11/25/2010,88,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.68333333,19.9,92.33333333,143.3333333,
11/30/2010,89,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.26666667,17.36666667,83.33333333,139.6666667,
12/02/2010,90,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.53333333,18.86666667,61.33333333,113.0,
12/07/2010,91,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",9.933333333,16.73333333,90.33333333,125.6666667,
12/09/2010,92,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",10.46666667,17.6,67.33333333,101.6666667,
12/14/2010,93,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.35,17.71666667,43.0,71.66666667,
12/16/2010,94,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",11.98333333,21.01666667,47.0,71.66666667,
12/21/2010,95,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.76666667,20.63333333,61.0,149.0,
12/23/2010,96,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",12.85,17.85,56.33333333,118.3333333,
12/28/2010,97,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",14.56666667,18.31666667,42.33333333,131.3333333,
12/29/2010,98,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",14.61666667,18.43333333,30.66666667,83.0,
12/30/2010,99,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",14.46666667,15.73333333,79.0,137.6666667,
01/04/2010,100,"Govt. High School, Manali, Chennai.",10.73333333,18.66666667,124.3333333,226.0,
01/07/2010,101,"Govt. High School, Manali, Chennai.",10.41666667,17.03333333,94.33333333,242.6666667,
01/11/2010,102,"Govt. High School, Manali, Chennai.",11.15,20.3,50.66666667,96.33333333,
01/18/2010,103,"Govt. High School, Manali, Chennai.",11.96666667,21.71666667,145.3333333,261.0,
01/21/2010,104,"Govt. High School, Manali, Chennai.",8.783333333,15.36666667,131.6666667,340.6666667,
01/25/2010,105,"Govt. High School, Manali, Chennai.",13.43333333,23.05,73.33333333,179.0,
01/28/2010,106,"Govt. High School, Manali, Chennai.",12.95,17.83333333,110.0,229.0,
02/01/2010,107,"Govt. High School, Manali, Chennai.",10.76666667,18.91666667,128.0,230.3333333,
02/04/2010,108,"Govt. High School, Manali, Chennai.",15.65,22.33333333,138.0,269.0,
02/08/2010,109,"Govt. High School, Manali, Chennai.",9.133333333,13.56666667,126.6666667,253.3333333,
02/11/2010,110,"Govt. High School, Manali, Chennai.",10.78333333,19.41666667,92.33333333,223.3333333,
02/15/2010,111,"Govt. High School, Manali, Chennai.",13.9,23.01666667,92.66666667,176.6666667,
02/18/2010,112,"Govt. High School, Manali, Chennai.",13.51666667,23.36666667,100.3333333,205.3333333,
02/22/2010,113,"Govt. High School, Manali, Chennai.",8.816666667,14.13333333,87.0,179.6666667,
02/25/2010,114,"Govt. High School, Manali, Chennai.",10.01666667,18.05,94.33333333,208.6666667,
03/01/2010,115,"Govt. High School, Manali, Chennai.",10.21666667,17.75,79.33333333,175.0,
03/04/2010,116,"Govt. High School, Manali, Chennai.",13.73333333,22.76666667,95.0,200.3333333,
03/08/2010,117,"Govt. High School, Manali, Chennai.",12.25,19.56666667,93.33333333,196.6666667,
03/11/2010,118,"Govt. High School, Manali, Chennai.",10.05,16.8,77.0,149.0,
03/15/2010,119,"Govt. High School, Manali, Chennai.",11.3,19.3,78.33333333,199.3333333,
03/18/2010,120,"Govt. High School, Manali, Chennai.",10.1,16.91666667,101.0,209.6666667,
03/22/2010,121,"Govt. High School, Manali, Chennai.",9.483333333,16.75,93.33333333,219.3333333,
03/25/2010,122,"Govt. High School, Manali, Chennai.",13.13333333,21.01666667,73.33333333,197.3333333,
