,NO2,y,baseline_pred,dt_pred,gbr_pred
402,17.0,17.0,17.0,18.128205128205128,18.171973970512205
379,17.0,18.0,17.0,18.128205128205128,18.171973970512205
387,18.0,15.0,18.0,18.097560975609756,18.31934312320248
437,15.0,12.0,15.0,17.6875,17.818423625120563
451,12.0,12.0,12.0,20.285714285714285,20.061639733944777
459,12.0,15.0,12.0,20.285714285714285,20.061639733944777
406,15.0,15.0,15.0,17.6875,17.818423625120563
407,15.0,19.0,15.0,17.6875,17.818423625120563
408,19.0,17.0,19.0,18.928571428571427,18.994061743739987
409,17.0,15.0,17.0,18.128205128205128,18.171973970512205
410,15.0,13.0,15.0,17.6875,17.818423625120563
411,13.0,18.0,13.0,16.181818181818183,16.5262663741887
413,18.0,14.0,18.0,18.097560975609756,18.31934312320248
430,14.0,17.0,14.0,18.0,18.184237978879015
415,17.0,14.0,17.0,18.128205128205128,18.171973970512205
416,14.0,19.0,14.0,18.0,18.184237978879015
417,19.0,16.0,19.0,18.928571428571427,18.994061743739987
418,16.0,16.0,16.0,16.869565217391305,17.280062277453286
419,16.0,17.0,16.0,16.869565217391305,17.280062277453286
380,17.0,17.0,17.0,18.128205128205128,18.171973970512205
388,17.0,16.0,17.0,18.128205128205128,18.171973970512205
404,16.0,13.0,16.0,16.869565217391305,17.280062277453286
452,13.0,16.0,13.0,16.181818181818183,16.5262663741887
424,16.0,17.0,16.0,16.869565217391305,17.280062277453286
425,17.0,15.0,17.0,18.128205128205128,18.171973970512205
426,15.0,16.0,15.0,17.6875,17.818423625120563
427,16.0,17.0,16.0,16.869565217391305,17.280062277453286
428,17.0,16.0,17.0,18.128205128205128,18.171973970512205
372,16.0,15.0,16.0,16.869565217391305,17.280062277453286
431,15.0,12.0,15.0,17.6875,17.818423625120563
445,12.0,15.0,12.0,20.285714285714285,20.061639733944777
432,15.0,18.0,15.0,17.6875,17.818423625120563
433,18.0,17.0,18.0,18.097560975609756,18.31934312320248
434,17.0,13.0,17.0,18.128205128205128,18.171973970512205
435,13.0,17.0,13.0,16.181818181818183,16.5262663741887
397,17.0,16.0,17.0,18.128205128205128,18.171973970512205
405,16.0,19.0,16.0,16.869565217391305,17.280062277453286
422,19.0,13.0,19.0,18.928571428571427,18.994061743739987
440,13.0,12.0,13.0,16.181818181818183,16.5262663741887
441,12.0,17.0,12.0,20.285714285714285,20.061639733944777
442,17.0,15.0,17.0,18.128205128205128,18.171973970512205
443,15.0,17.0,15.0,17.6875,17.818423625120563
373,17.0,15.0,17.0,18.128205128205128,18.171973970512205
438,15.0,15.0,15.0,17.6875,17.818423625120563
446,15.0,14.0,15.0,17.6875,17.818423625120563
460,14.0,14.0,14.0,18.0,18.184237978879015
447,14.0,18.0,14.0,18.0,18.184237978879015
448,18.0,14.0,18.0,18.097560975609756,18.31934312320248
449,14.0,13.0,14.0,18.0,18.184237978879015
450,13.0,15.0,13.0,16.181818181818183,16.5262663741887
398,15.0,19.0,15.0,17.6875,17.818423625120563
414,19.0,14.0,19.0,18.928571428571427,18.994061743739987
423,14.0,14.0,14.0,18.0,18.184237978879015
453,14.0,15.0,14.0,18.0,18.184237978879015
454,15.0,17.0,15.0,17.6875,17.818423625120563
455,17.0,14.0,17.0,18.128205128205128,18.171973970512205
456,14.0,11.0,14.0,18.0,18.184237978879015
457,11.0,18.0,11.0,20.285714285714285,20.061639733944777
381,18.0,19.0,18.0,18.097560975609756,18.31934312320248
389,19.0,14.0,19.0,18.928571428571427,18.994061743739987
439,14.0,13.0,14.0,18.0,18.184237978879015
461,13.0,16.0,13.0,16.181818181818183,16.5262663741887
462,16.0,13.0,16.0,16.869565217391305,17.280062277453286
463,13.0,11.0,13.0,16.181818181818183,16.5262663741887
464,11.0,13.0,11.0,20.285714285714285,20.061639733944777
465,13.0,11.0,13.0,16.181818181818183,16.5262663741887
