Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10
2010-01-04,"Govt. High School, Manali, Chennai.",10.73333333,18.66666667,124.3333333
2010-01-07,"Govt. High School, Manali, Chennai.",10.41666667,17.03333333,94.33333333
2010-01-11,"Govt. High School, Manali, Chennai.",11.15,20.3,50.66666667
2010-01-18,"Govt. High School, Manali, Chennai.",11.96666667,21.71666667,145.3333333
2010-01-21,"Govt. High School, Manali, Chennai.",8.783333333,15.36666667,131.6666667
2010-01-25,"Govt. High School, Manali, Chennai.",13.43333333,23.05,73.33333333
2010-01-28,"Govt. High School, Manali, Chennai.",12.95,17.83333333,110.0
2010-02-01,"Govt. High School, Manali, Chennai.",10.76666667,18.91666667,128.0
2010-02-04,"Govt. High School, Manali, Chennai.",15.65,22.33333333,138.0
2010-02-08,"Govt. High School, Manali, Chennai.",9.133333333,13.56666667,126.6666667
2010-02-11,"Govt. High School, Manali, Chennai.",10.78333333,19.41666667,92.33333333
2010-02-15,"Govt. High School, Manali, Chennai.",13.9,23.01666667,92.66666667
2010-02-18,"Govt. High School, Manali, Chennai.",13.51666667,23.36666667,100.3333333
2010-02-22,"Govt. High School, Manali, Chennai.",8.816666667,14.13333333,87.0
2010-02-25,"Govt. High School, Manali, Chennai.",10.01666667,18.05,94.33333333
2010-03-01,"Govt. High School, Manali, Chennai.",10.21666667,17.75,79.33333333
2010-03-04,"Govt. High School, Manali, Chennai.",13.73333333,22.76666667,95.0
2010-03-08,"Govt. High School, Manali, Chennai.",12.25,19.56666667,93.33333333
2010-03-11,"Govt. High School, Manali, Chennai.",10.05,16.8,77.0
2010-03-15,"Govt. High School, Manali, Chennai.",11.3,19.3,78.33333333
2010-03-18,"Govt. High School, Manali, Chennai.",10.1,16.91666667,101.0
2010-03-22,"Govt. High School, Manali, Chennai.",9.483333333,16.75,93.33333333
2010-03-25,"Govt. High School, Manali, Chennai.",13.13333333,21.01666667,73.33333333
2010-03-29,"Govt. High School, Manali, Chennai.",12.63333333,17.83333333,62.33333333
2010-04-01,"Govt. High School, Manali, Chennai.",11.05,18.85,72.0
2010-04-05,"Govt. High School, Manali, Chennai.",11.38333333,20.93333333,63.66666667
2010-04-08,"Govt. High School, Manali, Chennai.",10.31666667,17.46666667,50.66666667
2010-04-12,"Govt. High School, Manali, Chennai.",11.18333333,19.16666667,58.66666667
2010-04-15,"Govt. High School, Manali, Chennai.",14.51666667,26.4,51.0
2010-04-19,"Govt. High School, Manali, Chennai.",11.48333333,19.65,59.33333333
2010-04-22,"Govt. High School, Manali, Chennai.",9.65,16.05,59.66666667
2010-04-26,"Govt. High School, Manali, Chennai.",11.96666667,21.83333333,40.66666667
2010-04-29,"Govt. High School, Manali, Chennai.",11.75,20.0,45.33333333
2010-05-03,"Govt. High School, Manali, Chennai.",10.23333333,18.23333333,37.66666667
2010-05-06,"Govt. High School, Manali, Chennai.",11.78333333,19.0,48.0
2010-05-10,"Govt. High School, Manali, Chennai.",10.81666667,18.33333333,55.66666667
2010-05-13,"Govt. High School, Manali, Chennai.",11.26666667,19.9,55.33333333
2010-05-17,"Govt. High School, Manali, Chennai.",11.08333333,18.11666667,53.0
2010-05-20,"Govt. High School, Manali, Chennai.",11.78333333,20.18333333,41.66666667
2010-05-24,"Govt. High School, Manali, Chennai.",9.033333333,15.16666667,63.66666667
2010-05-27,"Govt. High School, Manali, Chennai.",10.51666667,18.81666667,48.0
2010-05-31,"Govt. High School, Manali, Chennai.",14.68333333,25.35,96.0
2010-06-03,"Govt. High School, Manali, Chennai.",13.45,23.53333333,60.33333333
2010-06-07,"Govt. High School, Manali, Chennai.",13.51666667,23.0,72.0
2010-06-10,"Govt. High School, Manali, Chennai.",10.65,18.3,82.0
2010-06-14,"Govt. High School, Manali, Chennai.",14.98333333,26.53333333,79.33333333
