,Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10,SPM,PM 2.5
202,1/6/2010,"Thiruvottiyur,  Chennai",14.75,25.73333333,105.0,353.6666667,
203,1/8/2010,"Thiruvottiyur,  Chennai",15.06666667,26.66666667,83.33333333,140.6666667,
204,13-01-10,"Thiruvottiyur,  Chennai",13.6,23.93333333,91.33333333,126.6666667,
205,20-01-10,"Thiruvottiyur,  Chennai",11.48333333,20.41666667,174.6666667,317.6666667,
206,22-01-10,"Thiruvottiyur,  Chennai",11.63333333,20.43333333,155.3333333,362.3333333,
207,22-01-10,"Thiruvottiyur,  Chennai",11.63333333,20.43333333,155.3333333,362.3333333,
208,29-01-10,"Thiruvottiyur,  Chennai",25.63333333,21.55,138.3333333,266.0,
209,2/3/2010,"Thiruvottiyur,  Chennai",14.43333333,24.61666667,109.6666667,237.3333333,
210,2/5/2010,"Thiruvottiyur,  Chennai",11.03333333,19.1,109.3333333,192.6666667,
211,2/10/2010,"Thiruvottiyur,  Chennai",13.3,20.85,72.33333333,161.3333333,
212,2/12/2010,"Thiruvottiyur,  Chennai",8.65,12.95,52.0,115.6666667,
213,17-02-10,"Thiruvottiyur,  Chennai",8.983333333,13.98333333,82.66666667,134.6666667,
214,19-02-10,"Thiruvottiyur,  Chennai",9.6,13.91666667,80.66666667,167.3333333,
215,24-02-10,"Thiruvottiyur,  Chennai",15.15,27.0,110.3333333,256.0,
216,26-02-10,"Thiruvottiyur,  Chennai",11.38333333,18.06666667,88.66666667,170.0,
217,3/3/2010,"Thiruvottiyur,  Chennai",15.23333333,24.48333333,89.66666667,183.3333333,
218,3/5/2010,"Thiruvottiyur,  Chennai",11.15,18.53333333,84.33333333,212.0,
219,3/10/2010,"Thiruvottiyur,  Chennai",14.23333333,24.46666667,71.33333333,144.6666667,
220,3/12/2010,"Thiruvottiyur,  Chennai",10.35,17.8,49.66666667,105.6666667,
221,17-03-10,"Thiruvottiyur,  Chennai",17.95,30.55,83.33333333,159.0,
222,19-03-10,"Thiruvottiyur,  Chennai",14.75,24.51666667,67.0,130.0,
223,24-03-10,"Thiruvottiyur,  Chennai",11.55,16.98333333,76.0,167.0,
224,26-03-10,"Thiruvottiyur,  Chennai",8.65,13.41666667,60.33333333,115.0,
225,31-03-10,"Thiruvottiyur,  Chennai",14.3,24.36666667,83.66666667,160.3333333,
226,4/7/2010,"Thiruvottiyur,  Chennai",12.45,21.16666667,54.66666667,107.0,
